#--- Experiment ---------------------------------
# comment
#
#--- System ------------------------------------------------------------------------------
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com
#MESSRECHNER4
#--- Instrument --------------------------------------------------------------------------
#Device: FSP19 [A] FSPRO-4 SN:21450119 UiD:2466C2055D64A687 Firmware:4.11 Build:001
#--- Channel -----------------------------------------------------------------------------
#Channel [A Ch.1] - pH Sensor - SHG7-597-623 
#--- Settings & Calibration --------------------------------------------------------------
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)
#	16 ms	80% (G)	10M (400x)	3000	FALSE	FALSE	FALSE	TRUE	0	47	0	pH	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	7.500000
#Calibration:	lastCal1	lastCal2	lastCal3	R1	pH1 (pH)	temp1 (°C)	salinity1 (g/L)	R2	pH2 (pH)	temp2 (°C)	salinity2 (g/L)	offset (pH)	dPhi_ref (°)	attenuation coefficient (1/m)	bkgdAmpl (mV)	bkgdDphi (°)	dsf_dye	dtf_dye	pka	slope	bottom_t	top_t	slope_t	pka_t	pka_is1	pka_is2
#	09.12.2024	01.01.2001	01.01.2001	1.420695	2.266000	24.890000	2.000000	0.046000	14.000000	20.000000	7.500000	0.000000	57.800000	0.033900	0.584000	0.000000	0.904700	-0.005670	8.319000	1.087000	-0.015900	-0.002465	0.000000	-0.011470	2.540000	0.250000
#--- Temperature Compensation Channel ----------------------------------------------------
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C
#Settings: n/a
#Calibration: n/a
#--- Measurement Data --------------------------------------------------------------------
Date [A Ch.1 Main]	Time [A Ch.1 Main]	 dt (s) [A Ch.1 Main]	pH [A Ch.1 Main]	pH (pH) [A Ch.1 Main]	dphi (°) [A Ch.1 Main]	Signal Intensity (mV) [A Ch.1 Main]	Ambient Light (mV) [A Ch.1 Main]	R [A Ch.1 Main]	Status [A Ch.1 Main]	Date [A Ch.1 CompT]	Time [A Ch.1 CompT]	 dt (s) [A Ch.1 CompT]	Sample Temp. (°C) [A Ch.1 CompT]	Status [A Ch.1 CompT]
11-12-2024	08:31:07.654	3.233	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:07.654	3.233	37.580	OK
11-12-2024	08:31:07.998	3.577	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:07.998	3.577	37.579	OK
11-12-2024	08:31:08.155	3.734	7.496	7.496	27.505	939	0	1.0918	OK	11-12-2024	08:31:08.155	3.734	37.580	OK
11-12-2024	08:31:08.256	3.835	7.495	7.495	27.501	939	0	1.0921	OK	11-12-2024	08:31:08.256	3.835	37.580	OK
11-12-2024	08:31:08.357	3.936	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:08.357	3.936	37.580	OK
11-12-2024	08:31:08.456	4.035	7.495	7.495	27.502	938	0	1.0920	OK	11-12-2024	08:31:08.456	4.035	37.581	OK
11-12-2024	08:31:08.557	4.135	7.494	7.494	27.496	938	0	1.0924	OK	11-12-2024	08:31:08.557	4.135	37.581	OK
11-12-2024	08:31:08.656	4.235	7.495	7.495	27.498	938	0	1.0922	OK	11-12-2024	08:31:08.656	4.235	37.581	OK
11-12-2024	08:31:08.996	4.575	7.496	7.496	27.510	939	0	1.0914	OK	11-12-2024	08:31:08.996	4.575	37.581	OK
11-12-2024	08:31:09.157	4.736	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:09.157	4.736	37.580	OK
11-12-2024	08:31:09.257	4.836	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:09.257	4.836	37.580	OK
11-12-2024	08:31:09.356	4.935	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:09.356	4.935	37.580	OK
11-12-2024	08:31:09.458	5.037	7.495	7.495	27.500	938	0	1.0921	OK	11-12-2024	08:31:09.458	5.037	37.580	OK
11-12-2024	08:31:09.557	5.136	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:09.557	5.136	37.580	OK
11-12-2024	08:31:09.658	5.236	7.495	7.495	27.500	938	0	1.0921	OK	11-12-2024	08:31:09.658	5.236	37.580	OK
11-12-2024	08:31:09.998	5.577	7.496	7.496	27.507	939	0	1.0916	OK	11-12-2024	08:31:09.998	5.577	37.580	OK
11-12-2024	08:31:10.157	5.736	7.496	7.496	27.507	938	0	1.0916	OK	11-12-2024	08:31:10.157	5.736	37.580	OK
11-12-2024	08:31:10.258	5.837	7.496	7.496	27.507	938	0	1.0916	OK	11-12-2024	08:31:10.258	5.837	37.580	OK
11-12-2024	08:31:10.357	5.936	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:10.357	5.936	37.580	OK
11-12-2024	08:31:10.459	6.038	7.494	7.494	27.497	938	0	1.0924	OK	11-12-2024	08:31:10.459	6.038	37.580	OK
11-12-2024	08:31:10.558	6.137	7.495	7.495	27.500	938	0	1.0921	OK	11-12-2024	08:31:10.558	6.137	37.580	OK
11-12-2024	08:31:10.658	6.237	7.495	7.495	27.500	938	0	1.0921	OK	11-12-2024	08:31:10.658	6.237	37.579	OK
11-12-2024	08:31:11.000	6.579	7.496	7.496	27.506	938	0	1.0917	OK	11-12-2024	08:31:11.000	6.579	37.579	OK
11-12-2024	08:31:11.159	6.738	7.496	7.496	27.509	939	0	1.0915	OK	11-12-2024	08:31:11.159	6.738	37.579	OK
11-12-2024	08:31:11.258	6.837	7.495	7.495	27.500	938	0	1.0921	OK	11-12-2024	08:31:11.258	6.837	37.579	OK
11-12-2024	08:31:11.359	6.938	7.496	7.496	27.505	938	0	1.0917	OK	11-12-2024	08:31:11.359	6.938	37.579	OK
11-12-2024	08:31:11.460	7.038	7.495	7.495	27.501	938	0	1.0920	OK	11-12-2024	08:31:11.460	7.038	37.578	OK
11-12-2024	08:31:11.559	7.138	7.495	7.495	27.500	938	0	1.0920	OK	11-12-2024	08:31:11.559	7.138	37.578	OK
11-12-2024	08:31:11.659	7.238	7.495	7.495	27.498	939	0	1.0922	OK	11-12-2024	08:31:11.659	7.238	37.577	OK
11-12-2024	08:31:12.018	7.597	7.496	7.496	27.504	939	0	1.0918	OK	11-12-2024	08:31:12.018	7.597	37.578	OK
11-12-2024	08:31:12.160	7.739	7.496	7.496	27.504	938	0	1.0918	OK	11-12-2024	08:31:12.160	7.739	37.578	OK
11-12-2024	08:31:12.260	7.839	7.495	7.495	27.500	938	0	1.0920	OK	11-12-2024	08:31:12.260	7.839	37.578	OK
11-12-2024	08:31:12.360	7.939	7.495	7.495	27.502	938	0	1.0919	OK	11-12-2024	08:31:12.360	7.939	37.578	OK
11-12-2024	08:31:12.461	8.040	7.495	7.495	27.498	938	0	1.0922	OK	11-12-2024	08:31:12.461	8.040	37.578	OK
11-12-2024	08:31:12.561	8.140	7.495	7.495	27.500	938	0	1.0920	OK	11-12-2024	08:31:12.561	8.140	37.578	OK
11-12-2024	08:31:12.660	8.239	7.495	7.495	27.500	938	0	1.0920	OK	11-12-2024	08:31:12.660	8.239	37.578	OK
11-12-2024	08:31:12.998	8.577	7.496	7.496	27.507	938	0	1.0916	OK	11-12-2024	08:31:12.998	8.577	37.578	OK
11-12-2024	08:31:13.160	8.739	7.496	7.496	27.507	938	0	1.0916	OK	11-12-2024	08:31:13.160	8.739	37.578	OK
11-12-2024	08:31:13.260	8.839	7.495	7.495	27.501	938	0	1.0920	OK	11-12-2024	08:31:13.260	8.839	37.578	OK
11-12-2024	08:31:13.361	8.940	7.495	7.495	27.502	938	0	1.0920	OK	11-12-2024	08:31:13.361	8.940	37.578	OK
11-12-2024	08:31:13.461	9.040	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:13.461	9.040	37.578	OK
11-12-2024	08:31:13.561	9.140	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:13.561	9.140	37.577	OK
11-12-2024	08:31:13.661	9.240	7.495	7.495	27.499	938	0	1.0922	OK	11-12-2024	08:31:13.661	9.240	37.577	OK
11-12-2024	08:31:14.097	9.676	7.497	7.497	27.511	939	0	1.0913	OK	11-12-2024	08:31:14.097	9.676	37.577	OK
11-12-2024	08:31:14.268	9.846	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:14.268	9.846	37.577	OK
11-12-2024	08:31:14.487	10.066	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:14.487	10.066	37.578	OK
11-12-2024	08:31:14.675	10.254	7.495	7.495	27.503	938	0	1.0919	OK	11-12-2024	08:31:14.675	10.254	37.577	OK
11-12-2024	08:31:15.125	10.704	7.497	7.497	27.512	938	0	1.0913	OK	11-12-2024	08:31:15.125	10.704	37.577	OK
11-12-2024	08:31:15.280	10.859	7.496	7.496	27.507	938	0	1.0916	OK	11-12-2024	08:31:15.280	10.859	37.577	OK
11-12-2024	08:31:15.497	11.076	7.496	7.496	27.508	938	0	1.0916	OK	11-12-2024	08:31:15.497	11.076	37.577	OK
11-12-2024	08:31:15.700	11.279	7.496	7.496	27.508	938	0	1.0916	OK	11-12-2024	08:31:15.700	11.279	37.578	OK
11-12-2024	08:31:16.134	11.713	7.497	7.497	27.513	939	0	1.0912	OK	11-12-2024	08:31:16.134	11.713	37.577	OK
11-12-2024	08:31:16.305	11.884	7.496	7.496	27.509	939	0	1.0915	OK	11-12-2024	08:31:16.305	11.884	37.577	OK
11-12-2024	08:31:16.509	12.088	7.496	7.496	27.509	938	0	1.0915	OK	11-12-2024	08:31:16.509	12.088	37.577	OK
11-12-2024	08:31:16.713	12.291	7.496	7.496	27.509	939	0	1.0915	OK	11-12-2024	08:31:16.713	12.291	37.576	OK
11-12-2024	08:31:17.148	12.727	7.497	7.497	27.516	939	0	1.0910	OK	11-12-2024	08:31:17.148	12.727	37.578	OK
11-12-2024	08:31:17.324	12.903	7.497	7.497	27.514	939	0	1.0912	OK	11-12-2024	08:31:17.324	12.903	37.578	OK
11-12-2024	08:31:17.526	13.105	7.496	7.496	27.508	939	0	1.0916	OK	11-12-2024	08:31:17.526	13.105	37.576	OK
11-12-2024	08:31:17.730	13.309	7.497	7.497	27.512	939	0	1.0913	OK	11-12-2024	08:31:17.730	13.309	37.576	OK
11-12-2024	08:31:18.146	13.725	7.497	7.497	27.516	939	0	1.0910	OK	11-12-2024	08:31:18.146	13.725	37.579	OK
11-12-2024	08:31:18.339	13.918	7.497	7.497	27.515	939	0	1.0911	OK	11-12-2024	08:31:18.339	13.918	37.579	OK
11-12-2024	08:31:18.544	14.123	7.497	7.497	27.514	939	0	1.0912	OK	11-12-2024	08:31:18.544	14.123	37.580	OK
11-12-2024	08:31:18.745	14.324	7.496	7.496	27.508	939	0	1.0916	OK	11-12-2024	08:31:18.745	14.324	37.580	OK
11-12-2024	08:31:19.158	14.737	7.497	7.497	27.516	939	0	1.0910	OK	11-12-2024	08:31:19.158	14.737	37.580	OK
11-12-2024	08:31:19.360	14.939	7.497	7.497	27.514	939	0	1.0912	OK	11-12-2024	08:31:19.360	14.939	37.580	OK
11-12-2024	08:31:19.562	15.141	7.496	7.496	27.510	939	0	1.0915	OK	11-12-2024	08:31:19.562	15.141	37.581	OK
11-12-2024	08:31:19.780	15.359	7.496	7.496	27.512	939	0	1.0914	OK	11-12-2024	08:31:19.780	15.359	37.581	OK
11-12-2024	08:31:20.219	15.798	7.497	7.497	27.513	939	0	1.0913	OK	11-12-2024	08:31:20.219	15.798	37.581	OK
11-12-2024	08:31:20.388	15.967	7.497	7.497	27.513	939	0	1.0913	OK	11-12-2024	08:31:20.388	15.967	37.581	OK
11-12-2024	08:31:20.591	16.170	7.497	7.497	27.514	938	0	1.0912	OK	11-12-2024	08:31:20.591	16.170	37.581	OK
11-12-2024	08:31:20.796	16.375	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:20.796	16.375	37.581	OK
11-12-2024	08:31:21.232	16.811	7.498	7.498	27.520	939	0	1.0908	OK	11-12-2024	08:31:21.232	16.811	37.580	OK
11-12-2024	08:31:21.405	16.984	7.497	7.497	27.514	938	0	1.0912	OK	11-12-2024	08:31:21.405	16.984	37.579	OK
11-12-2024	08:31:21.607	17.186	7.497	7.497	27.519	939	0	1.0909	OK	11-12-2024	08:31:21.607	17.186	37.579	OK
11-12-2024	08:31:21.811	17.390	7.497	7.497	27.515	939	0	1.0912	OK	11-12-2024	08:31:21.811	17.390	37.578	OK
11-12-2024	08:31:22.226	17.805	7.496	7.496	27.510	939	0	1.0916	OK	11-12-2024	08:31:22.226	17.805	37.578	OK
11-12-2024	08:31:22.431	18.010	7.497	7.497	27.514	939	0	1.0913	OK	11-12-2024	08:31:22.431	18.010	37.578	OK
11-12-2024	08:31:22.632	18.211	7.497	7.497	27.517	939	0	1.0911	OK	11-12-2024	08:31:22.632	18.211	37.577	OK
11-12-2024	08:31:23.038	18.617	7.497	7.497	27.515	939	0	1.0912	OK	11-12-2024	08:31:23.038	18.617	37.576	OK
11-12-2024	08:31:23.248	18.827	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:23.248	18.827	37.576	OK
11-12-2024	08:31:23.452	19.031	7.497	7.497	27.513	939	0	1.0913	OK	11-12-2024	08:31:23.452	19.031	37.575	OK
11-12-2024	08:31:23.556	19.134	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:23.556	19.134	37.575	OK
11-12-2024	08:31:23.760	19.339	7.497	7.497	27.519	939	0	1.0909	OK	11-12-2024	08:31:23.760	19.339	37.576	OK
11-12-2024	08:31:24.163	19.742	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:24.163	19.742	37.574	OK
11-12-2024	08:31:24.275	19.853	7.496	7.496	27.512	939	0	1.0914	OK	11-12-2024	08:31:24.275	19.853	37.574	OK
11-12-2024	08:31:24.489	20.068	7.496	7.496	27.511	939	0	1.0915	OK	11-12-2024	08:31:24.489	20.068	37.575	OK
11-12-2024	08:31:24.690	20.269	7.497	7.497	27.512	939	0	1.0914	OK	11-12-2024	08:31:24.690	20.269	37.576	OK
11-12-2024	08:31:25.137	20.716	7.498	7.498	27.519	939	0	1.0909	OK	11-12-2024	08:31:25.137	20.716	37.576	OK
11-12-2024	08:31:25.299	20.878	7.497	7.497	27.512	939	0	1.0914	OK	11-12-2024	08:31:25.299	20.878	37.576	OK
11-12-2024	08:31:25.503	21.082	7.497	7.497	27.518	939	0	1.0910	OK	11-12-2024	08:31:25.503	21.082	37.575	OK
11-12-2024	08:31:25.704	21.283	7.497	7.497	27.514	939	0	1.0913	OK	11-12-2024	08:31:25.704	21.283	37.576	OK
11-12-2024	08:31:26.188	21.767	7.498	7.498	27.522	939	0	1.0907	OK	11-12-2024	08:31:26.188	21.767	37.578	OK
11-12-2024	08:31:26.330	21.909	7.497	7.497	27.519	939	0	1.0909	OK	11-12-2024	08:31:26.330	21.909	37.579	OK
11-12-2024	08:31:26.531	22.110	7.497	7.497	27.517	939	0	1.0911	OK	11-12-2024	08:31:26.531	22.110	37.578	OK
11-12-2024	08:31:26.736	22.315	7.497	7.497	27.519	939	0	1.0909	OK	11-12-2024	08:31:26.736	22.315	37.579	OK
11-12-2024	08:31:27.188	22.767	7.497	7.497	27.519	939	0	1.0909	OK	11-12-2024	08:31:27.188	22.767	37.579	OK
11-12-2024	08:31:27.345	22.924	7.497	7.497	27.517	939	0	1.0911	OK	11-12-2024	08:31:27.345	22.924	37.580	OK
11-12-2024	08:31:27.545	23.124	7.497	7.497	27.514	939	0	1.0913	OK	11-12-2024	08:31:27.545	23.124	37.580	OK
11-12-2024	08:31:27.747	23.326	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:27.747	23.326	37.579	OK
11-12-2024	08:31:28.199	23.778	7.498	7.498	27.523	939	0	1.0907	OK	11-12-2024	08:31:28.199	23.778	37.579	OK
11-12-2024	08:31:28.356	23.935	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:28.356	23.935	37.579	OK
11-12-2024	08:31:28.559	24.138	7.497	7.497	27.516	939	0	1.0911	OK	11-12-2024	08:31:28.559	24.138	37.579	OK
11-12-2024	08:31:28.761	24.340	7.498	7.498	27.520	939	0	1.0909	OK	11-12-2024	08:31:28.761	24.340	37.579	OK
